iteration,omega,gradient_hat,true_gradient,objective_gap,distance_to_omega_star
0,-1.0,-32.90475124786612,-36.0,54.0,3.0
1,0.6452375623933062,-14.87340291321069,-16.257149251280325,11.012287574100185,1.3547624376066938
2,1.3889077080538408,-6.722983940899724,-7.333107503353911,2.2406027356560596,0.6110922919461592
3,1.725056905098827,-3.038881776641032,-3.299317138814077,0.45356223260301276,0.2749430949011731
4,1.8770009939308785,-1.373616616309377,-1.475988072829458,0.09077253296395074,0.12299900606912151
5,1.9456818247463474,-0.6208937192307561,-0.6518181030438308,0.017702784977319086,0.05431817525365257
6,1.9767265107078853,-0.28065255326918176,-0.2792818715053764,0.003249931822981066,0.023273489292114702
7,1.9907591383713443,-0.126858837860523,-0.11089033954386807,0.0005123611418397646,0.009240861628655672
8,1.9971020802643704,-0.0573419502365515,-0.034775036827555006,5.038763276490862e-05,0.002897919735629584
9,1.999969177776198,-0.025919355027878566,-0.00036986668562288827,5.7000568805691855e-09,3.0822223801907356e-05
10,2.001265145527592,-0.011715907155057447,0.01518174633110192,9.60355923591361e-06,0.0012651455275918266
11,2.001850940885345,-0.005295752163517009,0.022211290624138513,2.0555892966247643e-05,0.001850940885344876
12,2.002115728493521,-0.0023937532626548044,0.025388741922251157,2.6857842349778055e-05,0.0021157284935209297
13,2.002235416156654,-0.0010820096004384688,0.026824993879845493,2.998251236057284e-05,0.002235416156653791
14,2.002289516636676,-0.0004890833126802449,0.02747419964011044,3.145131857769353e-05,0.00228951663667587
15,2.0023139708023097,-0.00022107242546541922,0.02776764962771594,3.2126765243649715e-05,0.0023139708023096617
16,2.002325024423583,-9.992779559799464e-05,0.027900293082996797,3.243443142154662e-05,0.0023250244235830664
17,2.0023300208133628,-4.516874645357022e-05,0.02796024976035305,3.2573981944221784e-05,0.0023300208133627542
18,2.0023322792506852,-2.0416898462380096e-05,0.027987351008222916,3.263715901906151e-05,0.002332279250685243
19,2.0023333000956085,-9.22872064065522e-06,0.027999601147302045,3.266573601699992e-05,0.0023333000956085037
20,2.0023337615316406,-4.171509440181742e-06,0.028005138379686656,3.2678657319391606e-05,0.0023337615316405547
21,2.0023339701071126,-1.8855799939984652e-06,0.028007641285350715,3.268449876537008e-05,0.0023339701071125596
22,2.0023340643861123,-8.523082505434986e-07,0.028008772633347334,3.268713935110611e-05,0.002334064386112278
23,2.002334107001525,-3.852551237437662e-07,0.02800928401829772,3.268833296740284e-05,0.00233410700152481
24,2.002334126264281,-1.7414064624965418e-07,0.028009515171373067,3.268887250564075e-05,0.002334126264281089
25,2.0023341349713135,-7.871398072067937e-08,0.028009619655762208,3.2689116385852526e-05,0.0023341349713135173
26,2.0023341389070124,-3.557981021834466e-08,0.028009666884148743,3.268922662337411e-05,0.0023341389070123952
27,2.002334140686003,-1.6082564234243258e-08,0.028009688232037533,3.268927645233091e-05,0.0023341406860031277
28,2.0023341414901314,-7.269540319709833e-09,0.028009697881577367,3.268929897571831e-05,0.0023341414901314472
29,2.0023341418536083,-3.2859351301040005e-09,0.028009702243299017,3.268930915659458e-05,0.0023341418536082514
30,2.002334142017905,-1.4852901092377024e-09,0.028009704214857933,3.2689313758492926e-05,0.0023341420179048278
31,2.0023341420921694,-6.713707098593425e-10,0.028009705106033067,3.268931583862229e-05,0.0023341420921694223
32,2.002334142125738,-3.034671131052491e-10,0.028009705508857508,3.2689316778871775e-05,0.0023341421257381256
33,2.0023341421409113,-1.3717305680227553e-10,0.02800970569093586,3.268931720386853e-05,0.0023341421409113217
34,2.00233414214777,-6.200566310399225e-11,0.028009705773238025,3.268931739597348e-05,0.0023341421477698354
35,2.00233414215087,-2.802844151217343e-11,0.028009705810440266,3.26893174828088e-05,0.002334142150870022
36,2.0023341421522716,-1.2667883131367575e-11,0.028009705827258813,3.268931752206568e-05,0.0023341421522715677
37,2.002334142152905,-5.727334717597899e-12,0.028009705834858067,3.268931753980342e-05,0.002334142152904839
38,2.0023341421531913,-2.588109726531229e-12,0.028009705838295318,3.268931754782645e-05,0.0023341421531912765
39,2.0023341421533205,-1.1717898873442323e-12,0.028009705839846077,3.268931755144614e-05,0.0023341421533205065
40,2.002334142153379,-5.292957738767256e-13,0.028009705840549515,3.2689317553088065e-05,0.0023341421533791262
41,2.0023341421534058,-2.3728879972040316e-13,0.02800970584086926,3.2689317553834395e-05,0.0023341421534057716
42,2.0023341421534178,-1.0590167631718828e-13,0.028009705841013144,3.268931755417024e-05,0.002334142153417762
43,2.002334142153423,-4.759720395597355e-14,0.028009705841077093,3.268931755431951e-05,0.002334142153423091
44,2.0023341421534253,-2.3194224318956457e-14,0.028009705841103738,3.26893175543817e-05,0.0023341421534253115
45,2.0023341421534266,-8.623657343775903e-15,0.028009705841119725,3.268931755441902e-05,0.0023341421534266438
46,2.002334142153427,-3.68816088780477e-15,0.028009705841125054,3.268931755443146e-05,0.002334142153427088
47,2.002334142153427,-3.68816088780477e-15,0.028009705841125054,3.268931755443146e-05,0.002334142153427088
48,2.002334142153427,-3.68816088780477e-15,0.028009705841125054,3.268931755443146e-05,0.002334142153427088
49,2.002334142153427,-3.68816088780477e-15,0.028009705841125054,3.268931755443146e-05,0.002334142153427088
50,2.002334142153427,-3.68816088780477e-15,0.028009705841125054,3.268931755443146e-05,0.002334142153427088
